FIPS,Name,Population,3/29/2020,3/30/2020,3/31/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/18/2020,5/20/2020,5/21/2020
39352,Kennett Square Borough,6195,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,6,7,7,7,9,10,10,10,11,14,14,15,16,17,17,20,24,30,30,38,42,52
39344,Kennett Township,8254,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,7,7,7,8,8,8,8,8,8,9,9,10,10,10,11,11,12,13,14,14,14,14,15,16,15,15,17,18,20
44440,London Britain Township,3245,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
44480,London Grove Township,8752,0,1,1,2,3,3,3,3,3,4,4,4,5,5,6,5,5,5,5,6,6,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,12,12,12,12,13,16,17,20,22,22
44456,Londonderry Township,2522,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5
45040,Lower Oxford Township,5077,0,0,0,0,0,0,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,9,10,11,11,11,11,11,11,11,11,11,11,12,12,12
46792,Malvern Borough,3445,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,6,6,6,6,6,6,6,7,9,9,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14
50232,Modena Borough,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
53608,New Garden Township,12150,2,3,3,4,6,6,6,6,8,8,9,9,12,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,15,15,15,16,17,19,24,24,28,28,29,29,30,34,38,38,42,44,50
53816,New London Township,5964,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5
53784,Newlin Township,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54936,North Coventry Township,7989,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,6,7,7,7,8,9,9,10,10,10,10,11,11,11,12,12,13,13,13,14,14,14,14,14,15,15,18,18,18,18,18,18
57480,Oxford Borough,5572,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,6,6,6,8,9,9,11,12,13,13,13,13,13,13,13,13,13,17,18,18,19,19,20,21,25,25,25,26,26,26
58032,Parkesburg Borough,3920,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
58808,Penn Township,5530,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,4,4,4,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,12
59136,Pennsbury Township,3657,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7
60120,Phoenixville Borough,16957,2,2,2,6,7,8,8,9,9,9,10,10,13,15,17,19,23,24,26,27,29,31,32,48,61,62,70,76,81,83,97,100,101,103,110,113,117,118,122,123,125,125,126,126,131,135,136
61800,Pocopson Township,4840,0,0,0,0,1,1,2,3,4,4,4,8,17,19,19,20,20,20,23,24,26,26,26,30,30,24,34,34,35,35,35,35,35,36,38,38,38,38,38,38,39,39,39,39,40,40,40
67080,Sadsbury Township,4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
68288,Schuylkill Township,8641,0,0,0,2,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,6,6,10,10,11,14,15,15,15,15,15,15,15,14,14,15,15,15,15,16,17,20,21,25,25,25
72072,South Coatesville Borough,1444,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,6,7,8,8,9,9,9,9,9
72088,South Coventry Township,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,7,7,7,7,7,8,8
72920,Spring City Borough,3317,1,3,3,5,5,5,5,5,5,5,5,5,5,5,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
76568,Thornbury Township,3138,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
77344,Tredyffrin Township,29504,12,16,16,20,23,24,25,25,26,26,27,28,32,33,33,36,42,45,46,46,48,52,52,65,63,66,67,68,70,70,70,72,72,73,76,76,77,77,78,80,84,89,90,90,92,96,96
79208,Upper Oxford Township,2535,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4
79352,Upper Uwchlan Township,11609,6,6,6,6,5,5,5,5,5,6,6,9,9,9,9,9,11,10,10,10,10,10,10,11,11,11,12,13,13,13,13,13,13,13,13,14,14,14,16,16,17,19,20,20,21,20,21
79480,Uwchlan Township,18908,9,10,11,12,12,12,13,13,15,15,15,15,15,15,16,18,18,20,21,22,23,25,25,30,32,34,35,37,38,38,40,42,42,42,43,43,44,44,45,45,47,48,48,48,49,50,50
79544,Valley Township,7803,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,3,3,4,5,5,5,8,9,9,9,10,11,11,12,13,14,14,14,14,14,14,18,21,22,23,23,24,32,36,37
80616,Wallace Township,3679,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
81160,Warwick Township,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82544,West Bradford Township,13123,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,6,7,7,7,8,12,14,14,15,15,17,17,17,20,20,19,20,22,22,22,22,22,22,23,24,24,26,27,27
82576,West Brandywine Township,7497,1,2,2,2,2,2,2,2,2,4,6,6,6,6,6,6,9,9,10,10,10,10,10,16,16,17,18,19,23,24,26,26,27,28,29,30,30,33,36,37,37,39,39,41,43,43,44
82664,West Caln Township,9103,2,3,4,4,4,4,4,4,6,6,7,8,9,10,10,13,15,15,17,17,17,20,20,22,22,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,26
82704,West Chester Borough,20048,9,9,9,10,11,11,11,12,14,14,15,16,15,15,20,21,24,29,32,34,36,46,46,53,54,56,59,62,64,65,68,70,70,74,74,74,75,75,78,78,78,81,82,82,86,87,88
82936,West Fallowfield Township,2593,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
83080,West Goshen Township,23009,5,5,5,8,14,15,15,16,20,21,21,21,22,23,23,25,32,34,37,37,40,42,42,47,48,48,48,50,50,50,51,54,55,56,56,57,57,57,58,59,61,67,68,69,72,75,80
83104,West Grove Borough,2847,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,5,5,5,6,8,9,10,10,10,13,14,14,15,15,16,18
83464,West Marlborough Township,811,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83664,West Nantmeal Township,2219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83712,West Nottingham Township,2703,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8
83832,West Pikeland Township,4079,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,11,11,11,12,13,13,13,13,13,13,15,16,16
83968,West Sadsbury Township,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
84160,West Vincent Township,5726,3,3,3,4,4,4,4,4,4,4,4,5,5,5,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,14,15,15,15,15,16,16,16,16,16,16,17,17,17
84192,West Whiteland Township,18381,5,7,9,11,12,12,12,12,14,15,18,19,19,20,24,25,29,32,33,35,37,37,37,45,47,47,47,48,48,50,52,52,53,54,56,57,60,60,52,62,64,65,66,66,67,69,69
84104,Westtown Township,10995,2,3,3,4,5,5,5,5,5,5,5,7,7,8,10,10,12,12,13,15,16,16,16,27,28,31,33,34,36,37,37,40,41,41,41,42,42,43,44,45,46,48,50,51,56,58,59
85352,Willistown Township,10991,5,7,7,13,14,15,15,15,16,17,20,23,24,25,28,30,31,31,31,31,31,31,31,46,47,50,51,54,54,55,55,57,64,109,113,116,117,117,117,117,119,120,120,120,117,117,117
